0.85,0.85,0.15,0.7,0.75,0.7,0.8
0.932,0.707,0.516,0.526,0.956,0.219,0.4
0.658,0.322,0.124,0.539,0.196,0.736,0.907
0.638,0.415,0.131,0.18,0.797,0.637,0.738
0.416,0.821,0.246,0.98,0.677,0.687,0.74
0.613,0.631,0.35,0.403,0.761,0.739,0.952
0.934,0.604,0.335,0.794,0.437,0.597,0.728
0.484,0.953,0.09,0.445,0.137,0.874,0.968
0.771,0.864,0.378,0.655,0.58,0.527,0.784
0.716,0.099,0.031,0.029,0.349,0.826,0.92
0.042,0.683,0.876,0.655,0.601,0.64,0.012
0.978,0.886,0.426,0.656,0.699,0.579,0.209
0.82,0.821,0.089,0.117,0.293,0.523,0.695
0.615,0.305,0.447,0.781,0.39,0.66,0.846
0.685,0.745,0.324,0.311,0.151,0.533,0.827
0.43,0.447,0.018,0.156,0.8,0.667,0.61
0.909,0.531,0.61,0.985,0.76,0.825,0.566
0.64,0.906,0.956,0.495,0.729,0.785,0.85
0.746,0.857,0.427,0.515,0.78,0.608,0.603
0.837,0.992,0.004,0.549,0.688,0.235,0.785
0.563,0.888,0.575,0.858,0.495,0.337,0.547
0.552,0.225,0.347,0.483,0.38,0.342,0.722
0.712,0.63,0.307,0.39,0.145,0.884,0.824
0.137,0.174,0.563,0.428,0.533,0.224,0.924
0.108,0.536,0.742,0.31,0.771,0.519,0.322
0.867,0.957,0.18,0.609,0.865,0.817,0.434
0.797,0.547,0.028,0.411,0.853,0.5,0.841
0.495,0.607,0.108,0.439,0.373,0.443,0.324
0.837,0.758,0.193,0.552,0.406,0.523,0.533
0.875,0.689,0.124,0.251,0.555,0.568,0.433
0.964,0.961,0.249,0.795,0.91,0.431,0.697
0.822,0.63,0.109,0.368,0.228,0.788,0.474
0.415,0.706,0.298,0.365,0.938,0.804,0.769
0.864,0.918,0.547,0.739,0.172,0.372,0.913
0.74,0.961,0.379,0.521,0.391,0.586,0.894
0.691,0.53,0.084,0.842,0.085,0.341,0.6
0.999,0.897,0.38,0.784,0.898,0.175,0.618
0.605,0.946,0.172,0.323,0.721,0.559,0.407
0.807,0.267,0.39,0.47,0.251,0.041,0.054
0.898,0.588,0.84,0.735,0.362,0.088,0.419
0.73,0.077,0.11,0.447,0.797,0.219,0.573
0.592,0.333,0.372,0.742,0.707,0.325,0.668
0.984,0.888,0.333,0.441,0.342,0.331,0.434
0.324,0.592,0.12,0.951,0.495,0.996,0.39
0.674,0.985,0.219,0.303,0.849,0.579,0.426
0.625,0.378,0.26,0.683,0.78,0.653,0.788
0.925,0.28,0.527,0.984,0.659,0.419,0.104
0.954,0.857,0.001,0.694,0.245,0.079,0.712
0.682,0.398,0.364,0.87,0.909,0.541,0.437
0.863,0.775,0.257,0.86,0.681,0.446,0.533
0.565,0.886,0.348,0.688,0.62,0.97,0.227
0.938,0.937,0.21,0.866,0.765,0.488,0.376
0.69,0.843,0.082,0.508,0.752,0.721,0.778
0.731,0.785,0.405,0.673,0.498,0.278,0.846
0.56,0.969,0.158,0.818,0.542,0.681,0.522
0.635,0.55,0.25,0.105,0.787,0.984,0.93
0.684,0.707,0.344,0.422,0.715,0.506,0.877
0.652,0.555,0.142,0.623,0.701,0.359,0.718
0.153,0.335,0.138,0.428,0.76,0.539,0.697
0.832,0.751,0.521,0.283,0.189,0.667,0.988
0.999,0.537,0.392,0.12,0.45,0.372,0.917
0.49,0.986,0.195,0.011,0.419,0.617,0.85
