0.3,0.7,0.6,0.4,0.6,0.5,0.6
0.377,0.218,0.614,0.565,0.395,0.908,0.51
0.25,0.666,0.65,0.449,0.158,0.093,0.732
0.152,0.422,0.33,0.885,0.337,0.116,0.049
0.262,0.645,0.217,0.844,0.648,0.28,0.777
0.514,0.689,0.91,0.541,0.696,0.135,0.719
0.074,0.358,0.283,0.465,0.848,0.328,0.946
0.859,0.613,0.873,0.266,0.246,0.406,0.108
0.141,0.88,0.775,0.685,0.071,0.19,0.664
0.773,0.671,0.19,0.14,0.857,0.132,0.351
0.445,0.581,0.255,0.342,0.202,0.35,0.767
0.443,0.707,0.592,0.164,0.548,0.283,0.695
0.161,0.283,0.463,0.974,0.736,0.431,0.795
0.342,0.152,0.226,0.505,0.436,0.407,0.706
0.401,0.436,0.929,0.557,0.916,0.444,0.411
0.379,0.927,0.779,0.328,0.766,0.271,0.929
0.444,0.23,0.613,0.511,0.586,0.784,0.86
0.295,0.217,0.882,0.129,0.766,0.74,0.632
0.012,0.704,0.69,0.488,0.266,0.55,0.519
0.22,0.172,0.597,0.326,0.719,0.194,0.29
0.047,0.553,0.527,0.213,0.903,0.907,0.812
0.023,0.838,0.079,0.59,0.304,0.371,0.593
0.804,0.408,0.427,0.334,0.107,0.24,0.498
0.122,0.814,0.104,0.127,0.895,0.842,0.838
0.482,0.45,0.102,0.811,0.239,0.476,0.49
0.159,0.675,0.673,0.714,0.932,0.819,0.627
0.432,0.959,0.897,0.598,0.586,0.457,0.295
0.52,0.451,0.96,0.164,0.797,0.278,0.611
0.345,0.746,0.448,0.182,0.242,0.355,0.217
0.308,0.811,0.726,0.79,0.471,0.684,0.763
0.381,0.105,0.095,0.791,0.93,0.286,0.506
0.386,0.718,0.555,0.839,0.569,0.44,0.504
0.096,0.405,0.743,0.219,0.137,0.185,0.604
0.505,0.039,0.32,0.106,0.242,0.754,0.215
0.975,0.808,0.438,0.605,0.212,0.18,0.538
0.422,0.324,0.934,0.303,0.627,0.306,0.706
0.093,0.93,0.589,0.573,0.026,0.491,0.009
0.186,0.141,0.509,0.14,0.852,0.596,0.928
0.134,0.532,0.791,0.117,0.379,0.438,0.921
0.446,0.431,0.575,0.136,0.0,0.569,0.94
0.384,0.49,0.475,0.208,0.57,0.149,0.236
0.559,0.475,0.383,0.574,0.564,0.35,0.781
0.426,0.433,0.559,0.733,0.23,0.392,0.303
0.212,0.65,0.695,0.412,0.72,0.131,0.65
0.66,0.611,0.239,0.077,0.73,0.785,0.482
0.52,0.538,0.289,0.309,0.421,0.785,0.675
0.752,0.461,0.362,0.527,0.256,0.549,0.639
0.365,0.318,0.858,0.991,0.79,0.759,0.803
0.319,0.698,0.511,0.74,0.435,0.999,0.638
0.153,0.31,0.687,0.042,0.924,0.802,0.784
0.308,0.661,0.248,0.371,0.47,0.22,0.113
0.294,0.678,0.196,0.198,0.17,0.878,0.529
0.169,0.655,0.53,0.502,0.847,0.759,0.483
0.094,0.912,0.68,0.216,0.097,0.271,0.468
0.701,0.516,0.611,0.809,0.734,0.315,0.419
0.684,0.444,0.771,0.692,0.442,0.092,0.648
0.106,0.615,0.656,0.253,0.125,0.009,0.618
0.656,0.637,0.323,0.111,0.297,0.959,0.476
0.579,0.868,0.563,0.738,0.72,0.738,0.892
0.249,0.635,0.901,0.753,0.867,0.647,0.539
0.74,0.397,0.619,0.174,0.289,0.772,0.722
0.133,0.589,0.4,0.052,0.212,0.6,0.404
0.306,0.547,0.823,0.529,0.84,0.622,0.344
0.269,0.66,0.732,0.898,0.691,0.53,0.108
0.151,0.298,0.75,0.487,0.071,0.847,0.206
0.567,0.728,0.293,0.196,0.428,0.652,0.539
0.136,0.202,0.359,0.276,0.375,0.597,0.272
0.714,0.429,0.814,0.138,0.63,0.465,0.755
0.056,0.768,0.829,0.582,0.597,0.445,0.337
0.039,0.956,0.478,0.857,0.835,0.818,0.123
0.1,0.557,0.564,0.742,0.315,0.297,0.592
0.583,0.893,0.0,0.443,0.14,0.338,0.651
0.217,0.891,0.68,0.306,0.088,0.339,0.825
0.139,0.742,0.388,0.484,0.368,0.781,0.926
0.344,0.978,0.721,0.375,0.535,0.552,0.017
0.029,0.401,0.472,0.863,0.845,0.926,0.406
0.266,0.26,0.608,0.122,0.905,0.481,0.858
0.74,0.812,0.155,0.083,0.08,0.217,0.784
0.604,0.449,0.705,0.931,0.029,0.753,0.732
0.504,0.828,0.557,0.726,0.776,0.763,0.688
0.574,0.833,0.755,0.198,0.594,0.463,0.18
0.454,0.821,0.645,0.326,0.718,0.461,0.449
0.3,0.302,0.315,0.254,0.147,0.841,0.228
0.384,0.301,0.717,0.418,0.982,0.281,0.829
0.624,0.932,0.891,0.369,0.81,0.598,0.415
0.841,0.641,0.33,0.235,0.868,0.76,0.243
0.034,0.252,0.969,0.282,0.325,0.361,0.757
0.407,0.546,0.491,0.431,0.331,0.683,0.771
0.07,0.929,0.54,0.797,0.817,0.463,0.414
0.032,0.539,0.958,0.908,0.603,0.339,0.609
0.095,0.587,0.183,0.116,0.487,0.72,0.533
0.618,0.979,0.498,0.78,0.755,0.071,0.665
0.775,0.548,0.188,0.235,0.663,0.648,0.883
0.088,0.362,0.468,0.935,0.37,0.177,0.323
0.968,0.716,0.192,0.543,0.01,0.494,0.953
0.126,0.963,0.664,0.358,0.696,0.52,0.33
0.796,0.589,0.83,0.138,0.404,0.569,0.792
0.326,0.52,0.333,0.143,0.022,0.013,0.339
0.23,0.476,0.661,0.534,0.591,0.067,0.589
0.499,0.294,0.683,0.368,0.116,0.308,0.67
0.134,0.832,0.735,0.693,0.269,0.661,0.779
0.532,0.495,0.415,0.639,0.837,0.493,0.177
0.724,0.646,0.665,0.737,0.586,0.107,0.543
